User_ID,Name,Zone,User_Type,Total_Orders,Phone_Number
USR-1001,نورهان أحمد,التجمع الخامس,B2C (أفراد),5,1012345001
USR-1002,شركة الأمل للمقاولات,الشيخ زايد,B2B (شركات),12,112345002
USR-1003,كريم الشاذلي,المعادي,B2C (أفراد),3,123456003
USR-1004,مطعم كازوزة,6 أكتوبر,B2B (شركات),8,109876004
USR-1005,سارة محمود,مدينتي,B2C (أفراد),2,155123005
USR-1006,مكاتب المشرق للتطوير,مصر الجديدة,B2B (شركات),15,111987006
USR-1007,محمد طارق,الشروق,B2C (أفراد),1,122334007
USR-1008,مها مصطفى,التجمع الخامس,B2C (أفراد),7,103344008
USR-1009,شركة إعمار للحلول,الشيخ زايد,B2B (شركات),20,120099009
USR-1010,عمر خالد,المعادي,B2C (أفراد),4,155443010
USR-1011,هند الشريف,6 أكتوبر,B2C (أفراد),6,106677011
USR-1012,عيادات الحكمة,مدينتي,B2B (شركات),9,114455012
USR-1013,يوسف حسن,مصر الجديدة,B2C (أفراد),2,128899013
USR-1014,رانيا يحيى,الشروق,B2C (أفراد),3,101122014
USR-1015,كافيه كابيتال,التجمع الخامس,B2B (شركات),11,122233015
USR-1016,أحمد عصام,الشيخ زايد,B2C (أفراد),8,150011016
USR-1017,دينا فاروق,المعادي,B2C (أفراد),1,109988017
USR-1018,مدرسة النيل الدولية,6 أكتوبر,B2B (شركات),18,118877018
USR-1019,حازم بدر,مدينتي,B2C (أفراد),5,127766019
USR-1020,أمنية كمال,مصر الجديدة,B2C (أفراد),4,103322020
USR-1021,محمود الشريف,الشروق,B2C (أفراد),3,101234021
USR-1022,شركة الفارس للتجارة,التجمع الخامس,B2B (شركات),14,112345022
USR-1023,مي عبد العزيز,الشيخ زايد,B2C (أفراد),2,123456023
USR-1024,هشام طلعت,المعادي,B2C (أفراد),6,109876024
USR-1025,معمل المختبر,6 أكتوبر,B2B (شركات),10,155123025
USR-1026,نهى فؤاد,مدينتي,B2C (أفراد),1,111987026
USR-1027,صيدلية العزبي branch,مصر الجديدة,B2B (شركات),13,122334027
